,ID,Gender,Age,Handness,Race,Education,Language,Scan,Interval,Training,Face,People,Place,Activity,B75_Span,B75_L,B75_R,B90_Span,B90_L,B90_R,B95_Span,B95_L,B95_R,Distinc_Test,A1,Mem_s
2955,30,-1,58,1,-1,12,0,1,15,1,1,1,0,26,0.014731369,0.705882353,0.294117647,0.055756698,0.493506494,0.506493506,0.21627409,0.841584158,0.158415842,0.404909062,0,0.3
2956,30,-1,58,1,-1,12,0,1,7,-1,0,0,0,0,0.019930676,0.652173913,0.347826087,0.026068067,0.611111111,0.388888889,0.026766595,0.44,0.56,0.475626008,1,0
2957,30,-1,58,1,-1,12,0,1,14,1,1,1,27,0,0.003466205,0.25,0.75,0.01230992,0.352941176,0.647058824,0.027837259,0.788461538,0.211538462,0.374713185,0,0.2
2958,30,-1,58,1,-1,12,0,1,13,1,1,1,27,0,0.026863085,0.193548387,0.806451613,0.281679942,0.015424165,0.984575835,0.321734475,0.186356073,0.813643927,0.362223622,2,0.6
2959,30,-1,58,1,-1,12,0,1,5,-1,1,1,38,0,0.067590988,0.269230769,0.730769231,0.056480811,0.269230769,0.730769231,0.149892934,0.435714286,0.564285714,0.393448057,2,0.6
2960,30,-1,58,1,-1,12,0,1,12,1,0,1,10,0,0.006065858,1,0,0.177407676,0.159183673,0.840816327,0.300321199,0.351158645,0.648841355,0.371364262,0,0.3
2961,30,-1,58,1,-1,12,0,1,7,-1,0,1,0,0,0.019930676,0.260869565,0.739130435,0.026068067,0.361111111,0.638888889,0.026766595,0.26,0.74,0.475785986,1,0
2962,30,-1,58,1,-1,12,0,1,10,1,0,0,39,22,0.001733102,0.5,0.5,0.001448226,0.5,0.5,0.001070664,0.5,0.5,0.476019906,2,0.6
2963,30,-1,58,1,-1,12,0,1,5,-1,1,1,27,7,0.005199307,0.166666667,0.833333333,0.004344678,0.166666667,0.833333333,0.149892934,0.689285714,0.310714286,0.499499515,0,0.4
2964,30,-1,58,1,-1,12,0,1,12,1,0,0,0,0,0.011265165,0.615384615,0.384615385,0.03186097,0.25,0.75,0.300321199,0.941176471,0.058823529,0.361556761,1,0
2965,30,-1,58,1,-1,12,0,1,8,-1,0,0,30,29,0.009532062,0.818181818,0.181818182,0.007965243,0.818181818,0.181818182,0.017665953,0.272727273,0.727272727,0.363061116,0,0.2
2966,30,-1,58,1,-1,12,0,1,9,1,0,0,12,0,0.008665511,0.2,0.8,0.010137581,0.285714286,0.714285714,0.007494647,0.285714286,0.714285714,0.442627914,2,0.8
2967,30,-1,58,1,-1,12,0,1,5,-1,0,0,27,0,0.005199307,0.666666667,0.333333333,0.008689356,0.333333333,0.666666667,0.020342612,0.789473684,0.210526316,0.412081678,2,0.6
2968,30,-1,58,1,-1,12,0,1,9,1,1,1,0,0,0.016464471,0.210526316,0.789473684,0.064446054,0.831460674,0.168539326,0.24732334,0.748917749,0.251082251,0.421752543,0,0.4
2969,30,-1,58,1,-1,12,0,1,14,1,1,1,0,0,0.011265165,0.538461538,0.461538462,0.057204924,0.17721519,0.82278481,0.06745182,0.484126984,0.515873016,0.367680633,0,0.2
2970,30,-1,58,1,-1,12,0,1,17,-1,0,0,39,22,0.001733102,0.5,0.5,0.001448226,0.5,0.5,0.048179872,0.011111111,0.988888889,0.439447029,0,0.2
2971,30,-1,58,1,-1,12,0,1,6,-1,0,0,38,29,0.001733102,0,1,0.01230992,0.882352941,0.117647059,0.38490364,0.020862309,0.979137691,0.407424454,2,0.6
2972,30,-1,58,1,-1,12,0,1,11,1,0,1,41,0,0.051126516,0.525423729,0.474576271,0.045619117,0.523809524,0.476190476,0.03372591,0.523809524,0.476190476,0.402175702,0,0.2
2973,30,-1,58,1,-1,12,0,1,5,-1,0,1,16,0,0.006932409,0.75,0.25,0.009413469,0.846153846,0.153846154,0.149892934,0.082142857,0.917857143,0.478826505,2,0.6
2974,30,-1,58,1,-1,12,0,1,11,1,1,1,38,29,0.009532062,0.727272727,0.272727273,0.055756698,0.311688312,0.688311688,0.04496788,0.285714286,0.714285714,0.365346702,0,0.3
2975,30,-1,58,1,-1,12,0,1,7,-1,0,1,23,22,0.006065858,0.714285714,0.285714286,0.00724113,0.5,0.5,0.28372591,0.903773585,0.096226415,0.338684358,0,0.2
2976,30,-1,58,1,-1,12,0,1,8,-1,1,1,37,28,0.006932409,0.125,0.875,0.005792904,0.125,0.875,0.004282655,0.125,0.875,0.658735755,0,0.2
2977,30,-1,58,1,-1,12,0,1,12,1,0,0,0,20,0.008665511,0.4,0.6,0.177407676,0.175510204,0.824489796,0.300321199,0.35828877,0.64171123,0.441464889,1,0
2978,30,-1,58,1,-1,12,0,1,6,-1,1,1,0,0,0.052859619,0.327868852,0.672131148,0.05141202,0.422535211,0.577464789,0.38490364,0.383866481,0.616133519,0.435276085,0,0.2
2979,30,-1,58,1,-1,12,0,1,13,1,0,0,0,0,0.005199307,0.166666667,0.833333333,0.011585807,0.3125,0.6875,0.039614561,0.851351351,0.148648649,0.44210188,2,0.9
2980,30,-1,58,1,-1,12,0,1,9,1,1,1,27,0,0.011265165,0.846153846,0.153846154,0.023895728,0.939393939,0.060606061,0.24732334,0.995670996,0.004329004,0.383042946,0,0.3
2981,30,-1,58,1,-1,12,0,1,17,-1,0,1,39,22,0.003466205,0.5,0.5,0.002896452,0.5,0.5,0.024625268,0.304347826,0.695652174,0.354164851,0,0.2
2982,30,-1,58,1,-1,12,0,1,7,-1,0,1,30,29,0.006065858,0,1,0.00724113,0,1,0.28372591,0.894339623,0.105660377,0.402023913,0,0.3
2983,30,-1,58,1,-1,12,0,1,14,1,0,1,31,29,0.010398614,0.333333333,0.666666667,0.023895728,0.757575758,0.242424242,0.06745182,0.936507937,0.063492063,0.479448476,2,0.8
2984,30,-1,58,1,-1,12,0,1,7,-1,0,0,27,0,0.003466205,0,1,0.011585807,0.75,0.25,0.010706638,0.8,0.2,0.360079437,0,0.5
2985,30,-1,58,1,-1,12,0,1,12,1,0,0,39,22,0.00779896,0.555555556,0.444444444,0.037653874,0.538461538,0.461538462,0.300321199,0.128342246,0.871657754,0.47495916,1,0.1
2986,30,-1,58,1,-1,12,0,1,5,-1,0,0,27,0,0.067590988,0.615384615,0.384615385,0.056480811,0.615384615,0.384615385,0.149892934,0.532142857,0.467857143,0.358120711,0,0.5
2987,30,-1,58,1,-1,12,0,1,14,1,0,1,0,0,0.011265165,0.384615385,0.615384615,0.057204924,0.810126582,0.189873418,0.06745182,0.507936508,0.492063492,0.416295682,2,0.8
2988,30,-1,58,1,-1,12,0,1,7,-1,0,0,27,0,0.006065858,0.857142857,0.142857143,0.011585807,0.6875,0.3125,0.010706638,0.75,0.25,0.358316719,0,0.4
2989,30,-1,58,1,-1,12,0,1,5,-1,1,1,27,0,0.010398614,0.916666667,0.083333333,0.008689356,0.916666667,0.083333333,0.149892934,0.996428571,0.003571429,0.386634817,2,0.6
2990,30,-1,58,1,-1,12,0,1,12,1,0,1,0,0,0.016464471,0.263157895,0.736842105,0.177407676,0.742857143,0.257142857,0.300321199,0.606060606,0.393939394,0.416622006,2,0.6
2991,30,-1,58,1,-1,12,0,1,8,-1,1,1,22,29,0.012131716,0.642857143,0.357142857,0.034033309,0.808510638,0.191489362,0.031049251,0.810344828,0.189655172,0.434662514,0,0.4
