,ID,Gender,Age,Handness,Race,Education,Language,Scan,Interval,Training,Face,People,Place,Activity,B75_Span,B75_L,B75_R,B90_Span,B90_L,B90_R,B95_Span,B95_L,B95_R,Distinc_Test,A1,Mem_s
29,16,1,71,1,1,12,-1,1,26,-1,1,1,11,14,0.019064125,0.454545455,0.545454545,0.020275163,0.571428571,0.428571429,0.040685225,0.328947368,0.671052632,0.371137771,2,0.8
30,16,1,71,1,1,12,-1,1,14,-1,0,0,0,0,0.021663778,0.12,0.88,0.060101376,0.614457831,0.385542169,0.155781585,0.553264605,0.446735395,0.625021874,1,0.1
31,16,1,71,1,1,12,-1,1,18,1,1,1,11,26,0.052859619,0.639344262,0.360655738,0.096307024,0.563909774,0.436090226,0.19111349,0.523809524,0.476190476,0.437234332,2,0.6
32,16,1,71,1,1,12,-1,1,18,1,1,1,11,27,0.052859619,0.540983607,0.459016393,0.096307024,0.518796992,0.481203008,0.19111349,0.507002801,0.492997199,0.378781725,0,0.4
33,16,1,71,1,1,12,-1,1,26,-1,1,1,0,26,0.027729636,0.125,0.875,0.033309196,0.391304348,0.608695652,0.156316916,0.359589041,0.640410959,0.434856448,0,0.5
34,16,1,71,1,1,12,-1,1,17,-1,1,1,23,0,0.012998267,0.4,0.6,0.068066618,0.372340426,0.627659574,0.141862955,0.418867925,0.581132075,0.434084651,0,0.4
35,16,1,71,1,1,12,-1,1,18,1,0,0,38,29,0.016464471,0.157894737,0.842105263,0.105720492,0.020547945,0.979452055,0.078158458,0.020547945,0.979452055,0.361268688,0,0.3
36,16,1,71,1,1,12,-1,1,14,-1,1,1,22,7,0.012131716,0.142857143,0.857142857,0.042722665,0.796610169,0.203389831,0.076552463,0.818181818,0.181818182,0.352795559,2,0.9
37,16,1,71,1,1,12,-1,1,22,1,0,1,20,0,0.012131716,0.428571429,0.571428571,0.17595945,0.353909465,0.646090535,0.223768737,0.205741627,0.794258373,0.374041213,2,0.9
38,16,1,71,1,1,12,-1,1,17,-1,1,1,22,7,0.025129983,0.172413793,0.827586207,0.128892107,0.797752809,0.202247191,0.102248394,0.743455497,0.256544503,0.460225638,0,0.3
39,16,1,71,1,1,12,-1,1,21,1,1,1,27,7,0.002599653,1,0,0.007965243,1,0,0.051391863,0.729166667,0.270833333,0.519526377,0,0.4
40,16,1,71,1,1,12,-1,1,16,-1,0,1,13,0,0.172443674,0.35678392,0.64321608,0.144098479,0.35678392,0.64321608,0.18254818,0.416422287,0.583577713,0.364205389,1,0.1
41,16,1,71,1,1,12,-1,1,19,1,1,1,11,26,0.03812825,0.227272727,0.772727273,0.151339609,0.688995215,0.311004785,0.155781585,0.494845361,0.505154639,0.348093939,0,0.2
42,16,1,71,1,1,12,-1,1,14,-1,1,1,11,18,0.010398614,0.416666667,0.583333333,0.042722665,0.372881356,0.627118644,0.076552463,0.251748252,0.748251748,0.597951728,2,0.7
43,16,1,71,1,1,12,-1,1,21,1,0,1,27,7,0.00779896,0.888888889,0.111111111,0.008689356,0.916666667,0.083333333,0.006423983,0.916666667,0.083333333,0.35188833,0,0.3
44,16,1,71,1,1,12,-1,1,16,-1,1,1,0,26,0.003466205,0.75,0.25,0.084721217,0.863247863,0.136752137,0.065845824,0.821138211,0.178861789,0.386159022,1,0
45,16,1,71,1,1,12,-1,1,18,1,1,1,0,7,0.002599653,0,1,0.002172339,1,0,0.004817987,0.333333333,0.666666667,0.608670401,0,0.3
46,16,1,71,1,1,12,-1,1,15,-1,1,1,0,26,0.012998267,0.866666667,0.133333333,0.010861694,0.866666667,0.133333333,0.008029979,0.866666667,0.133333333,0.400168361,2,0.6
47,16,1,71,1,1,12,-1,1,18,1,1,1,0,7,0.012131716,1,0,0.111513396,0.090909091,0.909090909,0.168094218,0.060509554,0.939490446,0.434900079,0,0.2
48,16,1,71,1,1,12,-1,1,16,-1,0,1,13,0,0.014731369,0.058823529,0.941176471,0.01955105,0.407407407,0.592592593,0.18254818,0.824046921,0.175953079,0.362829986,1,0.1
49,16,1,71,1,1,12,-1,1,23,1,1,1,23,7,0.019064125,0.363636364,0.636363636,0.353367125,0.051229508,0.948770492,0.270877944,0.067193676,0.932806324,0.654721618,2,0.8
50,16,1,71,1,1,12,-1,1,14,-1,0,0,0,27,0.019064125,0.545454545,0.454545455,0.060101376,0.301204819,0.698795181,0.155781585,0.463917526,0.536082474,0.470789019,1,0
51,16,1,71,1,1,12,-1,1,21,1,0,0,18,22,0.016464471,0.631578947,0.368421053,0.022447502,0.709677419,0.290322581,0.016595289,0.709677419,0.290322581,0.360268039,2,0.9
52,16,1,71,1,1,12,-1,1,24,1,0,1,38,29,0.280762565,0.151234568,0.848765432,0.275162925,0.202631579,0.797368421,0.203426124,0.202631579,0.797368421,0.354239765,1,0.1
53,16,1,71,1,1,12,-1,1,26,-1,1,1,11,18,0.437608319,0.148514851,0.851485149,0.387400434,0.168224299,0.831775701,0.28640257,0.168224299,0.831775701,0.396688717,2,0.6
54,16,1,71,1,1,12,-1,1,17,-1,0,0,38,29,0.003466205,0,1,0.068066618,0.957446809,0.042553191,0.141862955,0.626415094,0.373584906,0.361988398,1,0.1
55,16,1,71,1,1,12,-1,1,22,1,1,1,0,0,0.03812825,0.613636364,0.386363636,0.17595945,0.148148148,0.851851852,0.223768737,0.086124402,0.913875598,0.439823141,2,0.8
