,ID,Gender,Age,Handness,Race,Education,Language,Scan,Interval,Training,Face,People,Place,Activity,Distinc_Test,Distinc_Encode40,Distinc_Encode60,Distinc_Encode70,A1,Mem_s
2928,30,-1,58,1,-1,12,0,1,7,-1,1,1,0,7,0.358780202,2.99075281,1.393528912,0.926080936,2,0.9
2929,30,-1,58,1,-1,12,0,1,15,1,1,1,0,0,0.358188551,2.668603742,0.889618451,0.790582705,2,0.6
2930,30,-1,58,1,-1,12,0,1,9,1,0,0,27,31,0.580033945,3.923007372,1.450237033,1.097686558,1,0.1
2931,30,-1,58,1,-1,12,0,1,6,-1,0,0,0,20,0.455737763,2.305555762,0.912862587,0.887147039,1,0.1
2932,30,-1,58,1,-1,12,0,1,9,1,0,1,27,0,0.384901151,5.021619739,1.600030195,1.089861559,0,0.3
2933,30,-1,58,1,-1,12,0,1,9,1,0,1,12,0,0.454970048,5.585555164,1.824979638,0.958954621,2,0.7
2934,30,-1,58,1,-1,12,0,1,17,-1,0,0,39,22,0.476181706,1.583746841,1.23088238,1.279698348,2,0.6
2935,30,-1,58,1,-1,12,0,1,8,-1,0,1,0,0,0.468142722,2.060086267,1.082200621,1.012872074,0,0.3
2936,30,-1,58,1,-1,12,0,1,8,-1,1,1,38,29,0.446861997,2.676834236,1.212399159,1.111613618,0,0.2
2937,30,-1,58,1,-1,12,0,1,13,1,1,1,27,0,0.416400247,3.118483406,2.070473259,1.459051136,2,0.6
2938,30,-1,58,1,-1,12,0,1,12,1,0,0,31,32,0.461707458,2.349852044,1.362865578,1.125282274,2,0.7
2939,30,-1,58,1,-1,12,0,1,17,-1,1,1,39,11,0.393326398,2.570317344,1.974295914,1.742454623,0,0.3
2940,30,-1,58,1,-1,12,0,1,6,-1,1,1,22,29,0.379085469,2.281892665,1.077909943,0.945086045,2,0.6
2941,30,-1,58,1,-1,12,0,1,9,1,1,1,27,0,0.36182804,3.458045191,1.178483446,0.966204199,2,0.6
2942,30,-1,58,1,-1,12,0,1,8,-1,0,1,38,29,0.467566316,2.266422703,1.076793713,0.797196857,0,0.2
2943,30,-1,58,1,-1,12,0,1,14,1,1,1,22,26,0.368857192,3.065905544,1.353994116,1.032995904,0,0.2
2944,30,-1,58,1,-1,12,0,1,8,-1,0,1,30,29,0.396934857,1.904280264,1.116237607,0.919578321,0,0.2
2945,30,-1,58,1,-1,12,0,1,13,1,0,0,0,0,0.404843135,3.809063117,1.444043434,1.108812646,0,0.2
2946,30,-1,58,1,-1,12,0,1,8,-1,0,0,0,0,0.470679756,4.93892799,1.817541736,1.253886234,2,0.6
2947,30,-1,58,1,-1,12,0,1,13,1,0,0,0,0,0.392922764,4.01315853,1.801293726,1.013583822,0,0.3
2948,30,-1,58,1,-1,12,0,1,6,-1,1,1,0,0,0.3661968,3.970074943,1.876169504,1.32130042,2,0.8
2949,30,-1,58,1,-1,12,0,1,9,1,1,1,27,7,0.702171108,3.176700833,1.068092325,0.752652494,2,0.6
2950,30,-1,58,1,-1,12,0,1,8,-1,0,1,0,0,0.36283316,2.421487583,1.153479583,1.079594985,0,0.3
2951,30,-1,58,1,-1,12,0,1,14,1,0,1,0,0,0.362236426,2.260955224,1.591593972,1.099569258,0,0.3
2952,30,-1,58,1,-1,12,0,1,7,-1,0,0,0,0,0.362765859,2.35943288,1.123030378,0.919948744,0,0.3
2953,30,-1,58,1,-1,12,0,1,14,1,1,1,0,26,0.366928324,4.6753435,2.109914964,1.453508292,2,0.6
2954,30,-1,58,1,-1,12,0,1,6,-1,1,1,22,29,0.362440793,2.500037613,1.012348184,0.785792302,1,0.1
2955,30,-1,58,1,-1,12,0,1,15,1,1,1,0,26,0.404909062,4.230032432,1.38311878,0.897780594,0,0.3
2956,30,-1,58,1,-1,12,0,1,7,-1,0,0,0,0,0.475626008,2.424051667,1.329995875,1.270055623,1,0
2957,30,-1,58,1,-1,12,0,1,14,1,1,1,27,0,0.374713185,2.305555762,1.42806433,0.926360553,0,0.2
2958,30,-1,58,1,-1,12,0,1,13,1,1,1,27,0,0.362223622,4.560274125,1.618396784,0.964362636,2,0.6
2959,30,-1,58,1,-1,12,0,1,5,-1,1,1,38,0,0.393448057,2.430490836,0.782393805,0.72758148,2,0.6
2960,30,-1,58,1,-1,12,0,1,12,1,0,1,10,0,0.371364262,3.487351356,1.621918509,1.190973994,0,0.3
2961,30,-1,58,1,-1,12,0,1,7,-1,0,1,0,0,0.475785986,2.47406208,1.032600628,1.002255724,1,0
2962,30,-1,58,1,-1,12,0,1,10,1,0,0,39,22,0.476019906,2.308982311,2.052060143,1.987553693,2,0.6
2963,30,-1,58,1,-1,12,0,1,5,-1,1,1,27,7,0.499499515,4.112249444,1.620316179,1.075799069,0,0.4
2964,30,-1,58,1,-1,12,0,1,12,1,0,0,0,0,0.361556761,2.676834236,1.147873977,0.835952274,1,0
2965,30,-1,58,1,-1,12,0,1,8,-1,0,0,30,29,0.363061116,2.221399061,1.752247871,1.602042076,0,0.2
2966,30,-1,58,1,-1,12,0,1,9,1,0,0,12,0,0.442627914,5.210861732,2.099519865,1.261547156,2,0.8
2967,30,-1,58,1,-1,12,0,1,5,-1,0,0,27,0,0.412081678,3.139263307,2.311863592,1.799278249,2,0.6
2968,30,-1,58,1,-1,12,0,1,9,1,1,1,0,0,0.421752543,3.310621569,1.448078388,1.298996728,0,0.4
2969,30,-1,58,1,-1,12,0,1,14,1,1,1,0,0,0.367680633,1.772850305,0.792277615,0.51769987,0,0.2
2970,30,-1,58,1,-1,12,0,1,17,-1,0,0,39,22,0.439447029,2.444804709,1.528008771,1.436751197,0,0.2
2971,30,-1,58,1,-1,12,0,1,6,-1,0,0,38,29,0.407424454,2.171311925,1.247505715,1.096028284,2,0.6
2972,30,-1,58,1,-1,12,0,1,11,1,0,1,41,0,0.402175702,2.347471022,1.302357461,1.200738499,0,0.2
2973,30,-1,58,1,-1,12,0,1,5,-1,0,1,16,0,0.478826505,3.08561064,1.410517736,1.123237009,2,0.6
2974,30,-1,58,1,-1,12,0,1,11,1,1,1,38,29,0.365346702,2.986238165,1.213251335,0.958954621,0,0.3
2975,30,-1,58,1,-1,12,0,1,7,-1,0,1,23,22,0.338684358,2.198600098,1.479844427,1.209113952,0,0.2
2976,30,-1,58,1,-1,12,0,1,8,-1,1,1,37,28,0.658735755,4.045110114,2.323439334,1.860000505,0,0.2
2977,30,-1,58,1,-1,12,0,1,12,1,0,0,0,20,0.441464889,5.074729554,1.93933043,1.282622741,1,0
2978,30,-1,58,1,-1,12,0,1,6,-1,1,1,0,0,0.435276085,3.05378419,1.405339063,1.182507589,0,0.2
2979,30,-1,58,1,-1,12,0,1,13,1,0,0,0,0,0.44210188,3.298237494,2.416229994,1.422564373,2,0.9
2980,30,-1,58,1,-1,12,0,1,9,1,1,1,27,0,0.383042946,3.155136725,1.498379075,1.379705013,0,0.3
2981,30,-1,58,1,-1,12,0,1,17,-1,0,1,39,22,0.354164851,2.235119601,1.908104987,1.753052458,0,0.2
2982,30,-1,58,1,-1,12,0,1,7,-1,0,1,30,29,0.402023913,2.217214911,1.515532228,1.322685098,0,0.3
2983,30,-1,58,1,-1,12,0,1,14,1,0,1,31,29,0.479448476,2.326293755,1.392253621,1.055758759,2,0.8
2984,30,-1,58,1,-1,12,0,1,7,-1,0,0,27,0,0.360079437,3.179429425,1.766228885,1.584066053,0,0.5
2985,30,-1,58,1,-1,12,0,1,12,1,0,0,39,22,0.47495916,2.47947487,1.08989512,0.714372505,1,0.1
2986,30,-1,58,1,-1,12,0,1,5,-1,0,0,27,0,0.358120711,2.164357122,1.01287131,0.844591099,0,0.5
2987,30,-1,58,1,-1,12,0,1,14,1,0,1,0,0,0.416295682,1.962427103,0.593605682,0.425898904,2,0.8
2988,30,-1,58,1,-1,12,0,1,7,-1,0,0,27,0,0.358316719,3.123638016,1.765858462,1.561117413,0,0.4
