,ID,Gender,Age,Handness,Race,Education,Language,Scan,Interval,Training,Face,People,Place,Activity,Distinc_Test,Distinc_Encode40,Distinc_Encode60,Distinc_Encode70,A1,Mem_s
1,16,1,71,1,1,12,-1,1,22,1,1,1,38,29,0.363661532,2.372722832,1.975933376,1.840985345,1,0.1
2,16,1,71,1,1,12,-1,1,26,-1,0,0,0,0,0.368971177,2.157242167,1.494305584,1.526325561,1,0.1
3,16,1,71,1,1,12,-1,1,19,1,1,1,11,26,0.381218593,1.477102258,1.003794455,0.855596815,2,0.7
4,16,1,71,1,1,12,-1,1,27,-1,0,0,0,0,0.361554261,2.813538294,1.49024952,1.272545047,2,0.8
5,16,1,71,1,1,12,-1,1,23,1,1,0,0,20,0.355365986,4.252187923,1.171763775,0.818873971,2,0.7
6,16,1,71,1,1,12,-1,1,27,-1,0,0,27,20,0.37580595,2.655835271,1.977651074,1.376421779,0,0.3
7,16,1,71,1,1,12,-1,1,24,1,1,1,38,26,0.395339154,2.951996218,1.644458841,1.279581794,2,0.6
8,16,1,71,1,1,12,-1,1,27,-1,1,1,27,26,0.377922898,2.45212966,1.464878926,1.283994621,2,0.9
9,16,1,71,1,1,12,-1,1,21,1,0,1,27,7,0.609851611,3.561543863,2.081103189,1.422497279,2,0.6
10,16,1,71,1,1,12,-1,1,26,-1,1,1,0,26,0.362423554,2.231965728,1.336400563,0.929190554,0,0.5
11,16,1,71,1,1,12,-1,1,23,1,0,0,27,20,0.429929781,3.62357923,1.495366431,1.190157182,0,0.3
12,16,1,71,1,1,12,-1,1,27,-1,0,0,27,20,0.36753324,2.54653111,1.580433859,1.035995611,0,0.4
13,16,1,71,1,1,12,-1,1,21,1,0,0,0,0,0.409787234,2.891211342,1.291548717,1.149003967,1,0.1
14,16,1,71,1,1,12,-1,1,26,-1,0,1,0,29,0.429488502,2.7025,1.479571099,1.335533865,1,0.1
15,16,1,71,1,1,12,-1,1,14,-1,0,0,44,0,0.361385511,2.084849933,1.16271738,1.197324035,1,0.1
16,16,1,71,1,1,12,-1,1,19,1,0,0,27,7,0.397381648,4.005327868,1.732179874,1.275767548,0,0.3
17,16,1,71,1,1,12,-1,1,14,-1,0,1,0,29,0.353915241,2.496055562,1.653327603,1.656384612,1,0.1
18,16,1,71,1,1,12,-1,1,19,1,0,1,11,19,0.390143365,1.343376099,0.836499069,0.622165516,0,0.2
19,16,1,71,1,1,12,-1,1,19,1,1,1,11,18,0.340979679,1.346106854,0.744731683,0.729350098,0,0.3
20,16,1,71,1,1,12,-1,1,27,-1,0,1,27,0,0.378122005,3.628926814,1.895186771,1.665752627,0,0.2
21,16,1,71,1,1,12,-1,1,17,-1,0,1,38,29,0.428500916,2.136534949,1.082557575,0.807565602,0,0.3
22,16,1,71,1,1,12,-1,1,22,1,0,1,0,0,0.394233556,2.95609181,1.706727505,1.564912727,1,0.1
23,16,1,71,1,1,12,-1,1,23,1,1,1,38,29,0.368800041,3.579243442,1.005743983,0.766250393,1,0.1
24,16,1,71,1,1,12,-1,1,27,-1,0,0,27,0,0.543080982,2.597776584,1.699758864,1.38672546,0,0.3
25,16,1,71,1,1,12,-1,1,17,-1,0,0,38,29,0.360065445,2.524078502,1.808065454,1.6399307,1,0.1
26,16,1,71,1,1,12,-1,1,22,1,0,0,38,29,0.411142986,2.359075929,1.57966372,1.441070085,0,0.2
27,16,1,71,1,1,12,-1,1,19,1,1,1,32,26,0.36068553,3.959518293,1.126472044,0.708062115,2,0.9
28,16,1,71,1,1,12,-1,1,24,-1,1,1,22,7,0.345053874,4.175226841,2.28793628,1.799057069,0,0.4
29,16,1,71,1,1,12,-1,1,26,-1,1,1,11,14,0.371137771,4.832006392,1.318306611,0.620702882,2,0.8
30,16,1,71,1,1,12,-1,1,14,-1,0,0,0,0,0.625021874,3.410620725,1.378783074,1.062788847,1,0.1
31,16,1,71,1,1,12,-1,1,18,1,1,1,11,26,0.437234332,1.342830829,0.72693688,0.775140242,2,0.6
32,16,1,71,1,1,12,-1,1,18,1,1,1,11,27,0.378781725,1.462864943,0.708566816,0.794847523,0,0.4
33,16,1,71,1,1,12,-1,1,26,-1,1,1,0,26,0.434856448,2.257487612,1.294293756,0.908972624,0,0.5
34,16,1,71,1,1,12,-1,1,17,-1,1,1,23,0,0.434084651,4.346498606,1.663321497,1.160737769,0,0.4
35,16,1,71,1,1,12,-1,1,18,1,0,0,38,29,0.361268688,2.478931925,1.742318514,1.481212926,0,0.3
36,16,1,71,1,1,12,-1,1,14,-1,1,1,22,7,0.352795559,2.754799479,1.419919963,1.034434048,2,0.9
37,16,1,71,1,1,12,-1,1,22,1,0,1,20,0,0.374041213,3.736374763,2.359612376,1.664042821,2,0.9
38,16,1,71,1,1,12,-1,1,17,-1,1,1,22,7,0.460225638,3.076614553,1.783697367,1.412389497,0,0.3
39,16,1,71,1,1,12,-1,1,21,1,1,1,27,7,0.519526377,2.999424965,1.225532425,0.946664433,0,0.4
40,16,1,71,1,1,12,-1,1,16,-1,0,1,13,0,0.364205389,3.974556109,1.618715108,1.114395511,1,0.1
41,16,1,71,1,1,12,-1,1,19,1,1,1,11,26,0.348093939,1.351590837,1.077536318,0.781077351,0,0.2
42,16,1,71,1,1,12,-1,1,14,-1,1,1,11,18,0.597951728,2.864644311,1.36409301,1.12779568,2,0.7
43,16,1,71,1,1,12,-1,1,21,1,0,1,27,7,0.35188833,2.146834996,1.637093838,1.487534334,0,0.3
44,16,1,71,1,1,12,-1,1,16,-1,1,1,0,26,0.386159022,3.082806498,1.82292744,1.697166171,1,0
45,16,1,71,1,1,12,-1,1,18,1,1,1,0,7,0.608670401,3.417107208,1.954147235,1.691757082,0,0.3
46,16,1,71,1,1,12,-1,1,15,-1,1,1,0,26,0.400168361,3.684037194,3.087790889,2.364415537,2,0.6
47,16,1,71,1,1,12,-1,1,18,1,1,1,0,7,0.434900079,1.618502116,1.263802752,1.082512544,0,0.2
48,16,1,71,1,1,12,-1,1,16,-1,0,1,13,0,0.362829986,3.151910337,2.229129215,1.570453609,1,0.1
49,16,1,71,1,1,12,-1,1,23,1,1,1,23,7,0.654721618,3.5466182,1.1078094,0.629250674,2,0.8
50,16,1,71,1,1,12,-1,1,14,-1,0,0,0,27,0.470789019,3.459195393,1.374071298,1.168439215,1,0
51,16,1,71,1,1,12,-1,1,21,1,0,0,18,22,0.360268039,4.996628341,1.80155706,1.074495128,2,0.9
52,16,1,71,1,1,12,-1,1,24,1,0,1,38,29,0.354239765,2.271186401,1.544121216,1.451177626,1,0.1
53,16,1,71,1,1,12,-1,1,26,-1,1,1,11,18,0.396688717,0.739747328,0.650598865,0.757783954,2,0.6
54,16,1,71,1,1,12,-1,1,17,-1,0,0,38,29,0.361988398,1.653952519,1.475747652,1.607006472,1,0.1
55,16,1,71,1,1,12,-1,1,22,1,1,1,0,0,0.439823141,4.877676445,1.920301644,0.848122007,2,0.8
56,16,1,71,1,1,12,-1,1,17,-1,0,1,43,0,0.355571715,4.61603138,1.589721814,0.965662211,1,0.1
57,16,1,71,1,1,12,-1,1,21,1,1,1,11,18,0.496690229,2.15539774,1.573906597,1.448419841,2,0.7
58,16,1,71,1,1,12,-1,1,23,1,1,1,0,0,0.440125425,2.396671417,2.099381726,1.740471971,0,0.2
59,16,1,71,1,1,12,-1,1,26,-1,1,1,5,26,0.415074446,3.262646728,1.564195077,1.218199989,0,0.4
60,16,1,71,1,1,12,-1,1,17,-1,1,1,23,7,0.339547424,3.721559651,1.7139652,1.544349818,0,0.3
61,16,1,71,1,1,12,-1,1,23,1,1,1,13,0,0.374875877,2.229978265,0.793150289,0.758573031,1,0.1
62,16,1,71,1,1,12,-1,1,17,-1,1,1,22,7,0.359695988,3.103199416,1.472284439,1.184022431,0,0.3
63,16,1,71,1,1,12,-1,1,24,1,1,1,0,0,0.403344332,1.560605902,1.400104502,1.435811532,0,0.3
64,16,1,71,1,1,12,-1,1,18,1,1,1,0,26,0.360344549,1.485554401,1.263662394,1.027178719,2,0.8
65,16,1,71,1,1,12,-1,1,14,-1,0,0,0,28,0.437780433,3.3704886,1.893341524,1.488148175,1,0
66,16,1,71,1,1,12,-1,1,23,1,0,1,13,19,0.345156427,2.429252842,1.152747029,1.112566058,1,0.1
67,16,1,71,1,1,12,-1,1,17,-1,0,1,23,7,0.356437936,3.48439715,1.486560482,1.116792879,0,0.3
68,16,1,71,1,1,12,-1,1,21,1,0,0,38,29,0.411950996,2.757039113,1.842258919,1.56767933,1,0.1
69,16,1,71,1,1,12,-1,1,24,1,1,1,22,7,0.371325201,3.362241164,1.247793456,1.111793034,0,0.3
70,16,1,71,1,1,12,-1,1,27,-1,0,1,27,0,0.458058281,5.039645787,2.481338885,1.736659434,0,0.3
71,16,1,71,1,1,12,-1,1,21,1,0,0,19,0,0.343461081,3.006593384,2.060347719,1.740867181,2,0.8
72,16,1,71,1,1,12,-1,1,27,-1,0,1,0,0,0.355536565,3.031357968,1.543749804,1.173357643,1,0.1
73,16,1,71,1,1,12,-1,1,17,-1,0,0,38,29,0.374025326,1.546139663,1.42041226,1.503410922,1,0.1
74,16,1,71,1,1,12,-1,1,19,1,0,0,27,7,0.686960348,4.520067375,1.942184331,1.436880528,0,0.2
75,16,1,71,1,1,12,-1,1,17,-1,1,1,22,7,0.336960861,4.017115776,1.746630282,1.267361348,0,0.3
76,16,1,71,1,1,12,-1,1,23,1,0,0,0,0,0.411033527,4.049247042,1.888612145,1.627971584,1,0.1
77,16,1,71,1,1,12,-1,1,19,1,1,1,11,19,0.419116842,4.247200329,1.122199929,0.828828486,0,0.3
78,16,1,71,1,1,12,-1,1,26,-1,0,0,27,7,0.648749613,3.605084645,1.617115387,1.175226972,0,0.3
79,16,1,71,1,1,12,-1,1,21,1,0,1,0,0,0.386241179,4.414706831,1.274808944,1.040237222,1,0.1
80,16,1,71,1,1,12,-1,1,26,-1,1,1,11,18,0.357348186,1.347748868,1.140639243,1.101589614,0,0.3
81,16,1,71,1,1,12,-1,1,17,-1,1,1,22,0,0.367162143,3.80111232,1.153249491,0.744560145,0,0.3
82,16,1,71,1,1,12,-1,1,24,1,1,1,31,0,0.358465877,2.180274617,1.549148687,1.467284543,0,0.3
83,16,1,71,1,1,12,-1,1,16,-1,0,1,0,0,0.386569473,3.742362781,1.845015479,1.515959472,1,0.1
84,16,1,71,1,1,12,-1,1,21,1,0,1,11,0,0.395277904,2.05607503,1.169718068,1.244161071,2,0.8
85,16,1,71,1,1,12,-1,1,23,1,1,1,0,16,0.36531989,2.841200905,1.066185706,0.822023346,2,0.6
